rgb__mean_c0,rgb__mean_c1,rgb__mean_c2,rgb__stdev_c0,rgb__stdev_c1,rgb__stdev_c2,rgb__median_c0,rgb__median_c1,rgb__median_c2,rgb__cov_0,rgb__cov_1,rgb__cov_2,lab__mean_c0,lab__mean_c1,lab__mean_c2,lab__stdev_c0,lab__stdev_c1,lab__stdev_c2,lab__median_c0,lab__median_c1,lab__median_c2,lab__cov_0,lab__cov_1,lab__cov_2,hsv__mean_c0,hsv__mean_c1,hsv__mean_c2,hsv__stdev_c0,hsv__stdev_c1,hsv__stdev_c2,hsv__median_c0,hsv__median_c1,hsv__median_c2,hsv__cov_0,hsv__cov_1,hsv__cov_2,gray__mean,gray__stdev,gray__median,tag
-0.5369419086395655,-0.44296110855363535,-0.672323099834679,-0.4744718599273844,-0.43012758571225895,-0.5467533381300566,-0.5,-0.45679012345679004,-0.6877637130801688,-0.729456164682974,-0.6342927784096584,-0.8237910596115183,-0.42783844751208266,-0.47024625491531846,-0.15246199672852007,-0.3406946704887235,-0.7212588292992794,-0.7128057641551665,-0.4250090623430598,-0.45198826691403504,-0.07403833000112908,-0.0038513143943621694,-0.32605801158966874,-0.29932819477122796,-0.6429968484738345,-0.07263315750715282,-0.50602987384542,-0.8663673403267261,-0.474132689021982,-0.4456133342675148,-0.6480391969949202,-0.09677419330126202,-0.47619047619047616,-0.14434525807890125,0.1697370010845965,-0.13580551277771255,-0.46895407754336793,-0.4144266090459744,-0.4683544303797469,OTHER
-0.41927478777465066,-0.08146738184031344,-0.6330081567405828,-0.6680166712517761,-0.567912761290176,-0.634588281388677,-0.39682539682539675,-0.1358024691358024,-0.6540084388185654,-0.8441000042662915,-0.7207202716832668,-0.9008472262086854,-0.09545475298185968,-0.8095077670419656,0.12353541595823714,-0.5580324464733507,-0.4987710293217368,-0.5397865294268782,-0.13278727334124907,-0.7949631449411844,0.17901675315045307,-0.021486505845261836,-0.3410677244571588,-0.3792142937034939,-0.5169094117334142,0.2123963600299663,-0.17334729114577108,-0.917848189290656,-0.42797253698803084,-0.5789516336298932,-0.5084606189621068,0.22904116547186337,-0.17460317460317454,-0.14801683905657742,0.17866883663266744,-0.0591824931039973,-0.1778319080575127,-0.5867081527576217,-0.20675105485232081,OTHER
-0.38671868021574163,-0.22508487083598427,-0.23644300528753515,-0.45518558278832644,-0.3907401134277304,-0.5019874927259537,-0.3492063492063492,-0.23456790123456783,-0.23206751054852326,-0.7101596756016444,-0.6270097194254065,-0.8042370654842217,-0.18947037693503987,-0.4225797485373055,-0.44293350146220384,-0.3269833906915063,-0.7284528472846507,-0.6157853751995541,-0.19120189072774596,-0.42760547273752914,-0.343957763806782,-0.024809829945262075,-0.3174830181457613,-0.3014210734267074,-0.19326929629602874,-0.7070029715888926,-0.28462077384840656,-0.3298451797223766,-0.5437867255149922,-0.44663597127446675,-0.16800376970857622,-0.7333333329964977,-0.25396825396825407,-0.0564199032263773,0.14634011897178184,-0.04965840849798049,-0.24508471504937923,-0.3786720933714074,-0.24894514767932496,OTHER
-0.47891713507552747,-0.4694404645525251,-0.6348560615376206,-0.40360016038226176,-0.4029083070453806,-0.4562901306700201,-0.4365079365079365,-0.4897119341563785,-0.6624472573839663,-0.6903605984150261,-0.5760874345235804,-0.7899551064537362,-0.4331307748525427,-0.34618641436283715,-0.20489365756515707,-0.27569831568845105,-0.7922398254986597,-0.7161381202775432,-0.4353252171411145,-0.35512269689208364,-0.13491599560515116,0.021272799052569683,-0.3439023040054313,-0.28449114081595306,-0.766801698296386,-0.09681731426102336,-0.47984271449086635,-0.8891337084522624,-0.26675169031542323,-0.4021231837446535,-0.7376588464795735,-0.11999999817598106,-0.43650793603673177,-0.15159374761657876,0.16785681531480534,-0.2177126542024686,-0.47205901826722696,-0.36865208893937307,-0.47679324894514774,OTHER
-0.386172992690061,-0.34092989815499675,-0.4317163312429122,-0.03718655202959542,-0.12320918760948629,-0.3234512811831376,-0.46825396825396826,-0.4320987654320987,-0.48945147679324896,-0.38102275338099256,-0.35779106540513994,-0.6575407402467806,-0.3025980179403367,-0.35219046834888235,-0.31413891027965846,0.015294065628791431,-0.7569685651479083,-0.5462415054682384,-0.3856935664149288,-0.36317187562415293,-0.2679190087669763,0.05092031592786805,-0.22421770466977597,-0.27215435466029575,-0.5927115661246356,-0.6406702905197073,-0.3754061773089572,-0.382890534084649,-0.5642657578050905,-0.04587362582296761,-0.6896878928155524,-0.6321160042587343,-0.44444444444444453,-0.22467624076986342,0.0671927714743747,0.062023942229835635,-0.3434426857911498,-0.06320256180743844,-0.42616033755274263,OTHER
-0.28160886872154844,-0.1219019343136799,-0.35610252626689054,-0.48504966536399796,-0.43831819467396727,-0.5056201003230179,-0.2777777777777778,-0.15226337448559657,-0.39240506329113933,-0.7433642938020937,-0.6283951980472972,-0.8313684371366876,-0.09209151471739396,-0.5187006729780053,-0.18044887700416445,-0.3904257978965362,-0.5402993075207474,-0.5466599028790148,-0.11599297305136735,-0.5317369300771876,-0.10510163737434491,-0.007397791597927625,-0.3379888566829327,-0.36586711606582767,-0.5606807391301549,-0.43211510738731673,-0.1989232542210252,-0.5572618056023332,-0.5480265636240809,-0.46288787310306967,-0.5422414562217902,-0.4179516675167715,-0.1825396820684777,-0.1546059250657248,0.1730122899987622,-0.05128533317105101,-0.1554108209449333,-0.42692290689614054,-0.18143459915611826,OTHER
-0.5338626718875105,-0.4959336136786442,-0.7171920044814253,-0.45377478711155583,-0.39210000285810975,-0.5018653804484106,-0.5079365079365079,-0.4979423868312757,-0.7637130801687764,-0.7141531596824808,-0.6252746028006714,-0.8330257915844734,-0.47212271966410424,-0.39692454489870194,-0.1516090989111183,-0.285526275555921,-0.49752011760416026,-0.37527691106321914,-0.46565143630772565,-0.37089806327873465,-0.1309380053676876,-0.03586918011157329,-0.2827689492410729,-0.4139046861015453,-0.7491755948136715,0.09746879296630406,-0.5162446540720856,-0.780010931656281,-0.183355477655177,-0.4218619365309474,-0.7139472426551396,0.18840579914752253,-0.4841269836557792,-0.11218845099585867,0.18232789363961968,-0.18251406307341847,-0.5099211742321281,-0.38615332194275165,-0.5105485232067511,OTHER
-0.47225844800621053,-0.4109817430719708,-0.6991877416622261,-0.37368898206282475,-0.2775572224830012,-0.4164169759344035,-0.46031746031746024,-0.4320987654320987,-0.7805907172995781,-0.6421739106332709,-0.5748121214743487,-0.8027150282195691,-0.3868869731453827,-0.43725420363900325,-0.08782117875612727,-0.1811463220297529,-0.3618438706283226,-0.20687358022124214,-0.40815723980400365,-0.4363751856607218,-0.07894415678229566,-0.07715224185518005,-0.2407429546753437,-0.5076151490322366,-0.7321381157015138,0.16010463822258036,-0.43652580434894406,-0.7602478460274184,-0.06977561626334905,-0.3332541165843784,-0.6627042312515974,0.2920353996344216,-0.4285714285714286,-0.08535404762916589,0.18895989048177497,-0.18757495342030367,-0.43310612554972416,-0.2802456262308687,-0.45991561181434604,OTHER
-0.07833052098542082,0.26306424666249417,-0.31310885218127893,-0.43446358970608534,-0.3960905877256875,-0.3185553912714456,-0.0714285714285714,0.23456790123456805,-0.3670886075949368,-0.7125501582871089,-0.5401880436562181,-0.7779953943336498,0.24716562567281342,-0.790267847032277,0.12938699112800034,-0.3700782280502707,-0.5212454245554776,-0.44670368401475935,0.22696565034695193,-0.7829529346496724,0.20414762740404224,0.018593843826995346,-0.3927188220522957,-0.39541811322389325,-0.5274663272096881,-0.06361526913107296,0.15153603702167184,-0.8777982135366857,-0.4181295131572351,-0.41301110982252576,-0.5247195982783742,-0.02532051218752429,0.1825396830108874,-0.16292881592378383,0.18432211978444266,-0.12868724125512004,0.17250367644496523,-0.3719714459422174,0.14767932489451474,OTHER
-0.5011506536069784,-0.32889539464723205,-0.6641971007364292,-0.23288584586327588,0.12975669528445266,-0.40528845073208486,-0.40476190476190477,-0.20164609053497928,-0.679324894514768,-0.39054412726383225,-0.499539190888212,-0.6628284446223841,-0.326721740067462,-0.5652932114477387,-0.07344021144697555,0.19894405811130067,0.01824185789385413,-0.02482939399332995,-0.18522349168327368,-0.5945365816067559,0.01644912947606214,-0.435451533969241,0.042571491788439275,-0.7282006942933761,-0.5332918410942814,0.16111765700677383,-0.36950878351280847,-0.1940514761688511,-0.25119461460653913,0.010785611418683727,-0.5379156595847374,0.16390773494737743,-0.23809523809523814,-0.04952733556178451,0.09386329173649594,-0.20404448499607633,-0.3777294554679712,0.06377014165502715,-0.2573839662447258,OTHER
-0.3395459425046734,-0.19893654989060328,-0.25329958601467384,-0.1325045542676464,0.06084617775108292,0.1541254907007703,-0.40476190476190477,-0.3497942386831274,-0.4177215189873418,-0.3718595433690294,-0.18815961170677376,-0.35048210586457784,-0.16864703109620272,-0.41482855579090144,-0.3744542514095286,0.1356045302321498,-0.49759964042393556,-0.4374590838429705,-0.2942575066418034,-0.43583209050098853,-0.2687067193455829,-0.0454941146342316,-0.4819505504301363,-0.24009022551923975,-0.3945536311256457,-0.5403207941387616,-0.2283256960896557,-0.19453298788890627,-0.5912122229653085,0.09026216579377389,-0.45657903812613665,-0.5311422419612881,-0.3253968249256205,-0.1899908359361182,0.33355480044954755,-0.026523403808772945,-0.2167046507899999,0.07765102112004119,-0.3502109704641351,OTHER
-0.39762593444928607,-0.034160403724833976,-0.619365769015316,-0.351783773169285,-0.3553508833088528,-0.5040545268470874,-0.3571428571428571,-0.061728395061728225,-0.6455696202531647,-0.7062012830819955,-0.6134476294022774,-0.8152162013849285,-0.05348005958317281,-0.8326285524828922,0.15158959824450635,-0.31124664040685557,-0.2962227847063402,-0.5345538298911922,-0.06067688747810496,-0.8515046170175598,0.21329616996906842,-0.028397466603760232,-0.303291476831687,-0.3531881136140897,-0.5114854378841974,0.25979963958871477,-0.12434105401505646,-0.8026474590338888,-0.40515388684788434,-0.381847620751694,-0.49994020809681583,0.27272727366430605,-0.09523809523809523,-0.14528470508664457,0.1743459308807908,-0.14488813651759774,-0.13773252207609354,-0.35307526688002666,-0.14767932489451485,OTHER
